T = 30;
Dn = [17, 15, 20, 9, 19, 9, 15, 20, 15, 10, 15, 22, 16, 14, 13, 10, 19, 11, 9, 20, 21, 10, 9, 15, 21, 15, 10, 11, 10, 10];
Ds = [13, 12, 10, 10, 13, 13, 14, 9, 7, 14, 9, 12, 5, 10, 9, 10, 12, 5, 6, 12, 12, 13, 6, 13, 13, 6, 12, 13, 7, 5];
R = [15, 11, 17, 15, 10, 12, 14, 16, 9, 9, 11, 7, 10, 6, 12, 10, 11, 16, 15, 8, 7, 6, 13, 15, 14, 8, 7, 13, 14, 16];
f = [995, 1022, 1019, 976, 975, 990, 1022, 981, 975, 1020, 998, 1020, 1000, 1004, 1009, 991, 1002, 985, 991, 1000, 1012, 1027, 1030, 1016, 1004, 1003, 1023, 989, 1017, 1021];
pn = [52, 58, 55, 52, 53, 52, 57, 57, 57, 52, 50, 56, 51, 53, 57, 53, 58, 51, 55, 54, 60, 59, 56, 54, 50, 59, 52, 51, 60, 58];
ps = [30, 36, 35, 34, 33, 34, 32, 34, 36, 36, 34, 35, 30, 31, 33, 35, 35, 32, 35, 34, 32, 31, 33, 32, 31, 32, 30, 34, 36, 35];
pr = [20, 20, 22, 21, 22, 20, 21, 22, 20, 20, 20, 21, 20, 21, 22, 21, 22, 22, 20, 22, 20, 21, 21, 20, 21, 21, 21, 20, 22, 21];
hn = [17, 16, 15, 14, 17, 15, 15, 15, 17, 17, 13, 17, 17, 14, 15, 13, 16, 15, 14, 16, 17, 15, 15, 17, 17, 16, 13, 15, 17, 15];
hs = [10, 10, 11, 12, 10, 12, 11, 12, 10, 12, 10, 12, 11, 10, 10, 12, 11, 10, 12, 12, 10, 10, 12, 10, 11, 11, 12, 10, 11, 11];
hr = [4, 3, 4, 3, 2, 2, 2, 2, 2, 3, 2, 2, 4, 2, 3, 3, 3, 4, 4, 2, 2, 2, 2, 2, 4, 4, 4, 2, 2, 4];
Cs = 30;
Cn = 45;
