T = 30;
Dn = [9, 20, 16, 13, 8, 17, 20, 17, 20, 18, 22, 19, 14, 14, 11, 11, 8, 20, 8, 13, 11, 8, 9, 22, 15, 20, 9, 16, 15, 16];
Ds = [7, 9, 13, 10, 15, 7, 5, 14, 8, 9, 9, 7, 8, 8, 9, 5, 6, 5, 11, 10, 13, 7, 14, 13, 8, 13, 14, 11, 9, 6];
R = [7, 15, 13, 8, 15, 11, 10, 15, 17, 8, 16, 11, 10, 11, 15, 7, 14, 11, 8, 16, 15, 7, 13, 11, 10, 11, 16, 17, 12, 13];
f = [5012, 5018, 4983, 5011, 4996, 4970, 4999, 5008, 5027, 5024, 4973, 4997, 4992, 5011, 4988, 4994, 5014, 5029, 5004, 5030, 5016, 4979, 5009, 4975, 4975, 4994, 4996, 4998, 4999, 4995];
pn = [73, 73, 65, 70, 70, 71, 75, 71, 73, 74, 68, 72, 69, 74, 70, 75, 75, 72, 74, 65, 71, 72, 69, 74, 70, 68, 67, 75, 68, 66];
ps = [44, 47, 50, 49, 45, 44, 50, 47, 46, 47, 50, 44, 47, 44, 45, 50, 48, 47, 50, 48, 46, 44, 48, 45, 46, 45, 48, 50, 48, 44];
hn = [26, 27, 30, 30, 29, 29, 28, 26, 28, 28, 30, 29, 30, 30, 28, 29, 27, 27, 30, 27, 29, 27, 28, 27, 28, 26, 30, 30, 30, 30];
hs = [21, 21, 20, 19, 21, 19, 20, 20, 20, 21, 20, 21, 20, 21, 19, 20, 19, 19, 19, 20, 21, 19, 21, 19, 20, 19, 19, 21, 21, 19];
hr = [10, 12, 12, 11, 10, 10, 11, 11, 12, 11, 12, 10, 11, 11, 11, 11, 11, 10, 12, 11, 12, 10, 10, 12, 12, 12, 10, 10, 10, 10];
Cs = 30;
Cn = 45;
