T = 30;
Dn = [16, 10, 11, 22, 8, 9, 22, 17, 20, 11, 21, 17, 16, 18, 16, 10, 12, 11, 9, 18, 13, 19, 11, 16, 13, 19, 13, 12, 11, 18];
Ds = [7, 11, 14, 5, 12, 10, 9, 15, 9, 5, 13, 15, 5, 12, 13, 15, 6, 7, 14, 8, 8, 10, 12, 12, 14, 10, 8, 7, 15, 14];
R = [9, 9, 14, 14, 13, 16, 8, 11, 13, 13, 13, 14, 9, 12, 8, 8, 11, 9, 7, 16, 14, 14, 16, 15, 10, 15, 8, 12, 11, 17];
f = [4988, 5026, 5007, 4994, 5021, 4987, 4999, 5016, 4971, 4973, 4988, 4971, 4989, 5022, 4978, 4993, 5008, 4998, 4984, 5019, 5005, 5006, 4992, 4977, 5016, 5014, 4987, 4998, 4998, 4996];
pn = [66, 73, 69, 67, 75, 73, 65, 71, 69, 69, 73, 73, 71, 74, 69, 73, 71, 67, 75, 70, 74, 65, 71, 72, 75, 73, 65, 75, 66, 72];
ps = [45, 50, 44, 49, 46, 48, 46, 44, 50, 49, 44, 46, 47, 49, 45, 49, 45, 47, 49, 49, 50, 50, 44, 48, 45, 44, 50, 45, 45, 48];
hn = [30, 26, 28, 27, 28, 28, 28, 27, 28, 27, 30, 28, 28, 26, 26, 30, 30, 27, 29, 27, 26, 28, 30, 26, 26, 27, 28, 28, 26, 26];
hs = [19, 21, 21, 19, 19, 19, 19, 20, 21, 19, 20, 21, 20, 20, 20, 20, 20, 20, 20, 21, 20, 20, 20, 21, 20, 20, 20, 19, 21, 21];
hr = [12, 11, 11, 12, 10, 11, 11, 12, 11, 12, 10, 12, 11, 11, 12, 11, 11, 11, 10, 12, 10, 12, 12, 11, 11, 12, 11, 10, 12, 10];
Cs = 30;
Cn = 45;
