T = 30;
Dn = [19, 21, 22, 11, 16, 11, 13, 8, 13, 11, 8, 20, 20, 22, 18, 16, 11, 9, 15, 22, 21, 8, 9, 15, 12, 10, 11, 8, 15, 11];
Ds = [12, 10, 12, 10, 9, 14, 9, 15, 15, 12, 12, 6, 13, 5, 6, 7, 6, 10, 6, 12, 12, 13, 15, 14, 13, 9, 9, 14, 11, 15];
R = [25, 8, 11, 10, 6, 8, 14, 13, 13, 15, 13, 8, 14, 14, 8, 14, 11, 9, 8, 6, 13, 6, 11, 7, 10, 12, 9, 12, 10, 9];
f = [1979, 1996, 1975, 2017, 1997, 2010, 1973, 2012, 1978, 1996, 2020, 1976, 1982, 2019, 1996, 1981, 1982, 1977, 2026, 2022, 1985, 2005, 1976, 1970, 1997, 2016, 2029, 2028, 1997, 1992];
pn = [51, 56, 53, 60, 58, 53, 53, 50, 56, 53, 54, 60, 52, 59, 56, 51, 60, 51, 55, 52, 60, 51, 59, 60, 52, 50, 56, 54, 54, 52];
ps = [35, 32, 32, 36, 30, 34, 36, 34, 35, 30, 30, 33, 35, 32, 33, 30, 36, 36, 33, 31, 33, 34, 36, 32, 33, 31, 32, 32, 33, 35];
hn = [17, 16, 16, 17, 17, 16, 14, 16, 15, 17, 14, 13, 13, 16, 15, 15, 13, 13, 15, 16, 13, 15, 17, 14, 14, 14, 14, 13, 15, 14];
hs = [12, 11, 11, 12, 12, 12, 11, 12, 12, 12, 12, 10, 11, 11, 10, 10, 10, 11, 12, 12, 10, 11, 11, 12, 12, 11, 11, 11, 12, 10];
hr = [4, 4, 3, 4, 4, 4, 2, 2, 4, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 4, 2, 3, 4, 4, 4, 4, 4, 3, 4, 2];
Cs = 30;
Cn = 50;
