T = 30;
Dn = [12, 10, 10, 13, 12, 16, 8, 9, 19, 18, 15, 17, 9, 22, 8, 20, 13, 16, 10, 22, 14, 20, 18, 13, 22, 9, 16, 21, 15, 21];
Ds = [11, 8, 14, 15, 6, 11, 13, 8, 6, 15, 12, 11, 7, 12, 7, 9, 7, 15, 9, 5, 5, 6, 9, 7, 6, 15, 12, 10, 6, 12];
R = [12, 8, 20, 14, 9, 8, 21, 13, 6, 10, 12, 7, 10, 10, 6, 14, 15, 10, 10, 7, 9, 12, 8, 13, 11, 6, 7, 13, 13, 12];
f = [977, 974, 980, 990, 1021, 983, 1006, 997, 990, 1020, 1018, 973, 973, 990, 1009, 1016, 1008, 1011, 990, 986, 1007, 1019, 988, 996, 978, 1026, 983, 970, 1009, 1006];
pn = [56, 56, 57, 52, 58, 50, 51, 51, 51, 53, 52, 57, 54, 55, 59, 58, 50, 51, 60, 56, 58, 57, 57, 54, 59, 53, 55, 59, 57, 57];
ps = [35, 31, 36, 33, 31, 32, 35, 30, 35, 36, 35, 32, 32, 30, 32, 33, 36, 30, 33, 35, 36, 31, 34, 33, 35, 35, 32, 34, 34, 34];
hn = [14, 16, 13, 15, 17, 16, 17, 17, 13, 17, 15, 13, 14, 15, 17, 14, 14, 16, 13, 15, 14, 15, 13, 17, 14, 15, 16, 13, 15, 13];
hs = [10, 11, 12, 12, 10, 11, 10, 11, 10, 10, 12, 10, 12, 11, 12, 11, 11, 10, 11, 12, 12, 11, 12, 12, 11, 11, 10, 10, 10, 12];
hr = [2, 3, 3, 3, 2, 4, 4, 4, 4, 4, 4, 2, 2, 4, 4, 4, 2, 4, 4, 2, 2, 4, 2, 4, 3, 4, 4, 2, 2, 2];
Cs = 30;
Cn = 45;
