T = 30;
Dn = [15, 21, 17, 11, 17, 9, 15, 10, 12, 21, 8, 15, 13, 20, 19, 20, 11, 18, 12, 15, 15, 11, 9, 20, 13, 9, 21, 15, 17, 15];
Ds = [13, 7, 15, 5, 6, 12, 8, 8, 9, 9, 13, 8, 7, 14, 5, 9, 12, 8, 6, 11, 11, 10, 5, 5, 11, 13, 13, 10, 8, 12];
R = [15, 10, 13, 15, 14, 16, 11, 12, 12, 12, 15, 13, 10, 15, 11, 6, 15, 15, 6, 11, 8, 15, 14, 11, 16, 8, 9, 9, 8, 15];
f = [1983, 2000, 2016, 1978, 2015, 2002, 2023, 2007, 1999, 2028, 1972, 1977, 2014, 1972, 1973, 1970, 1970, 2005, 1996, 2016, 1973, 2029, 2015, 1992, 2019, 1997, 1989, 2026, 2011, 1977];
pn = [52, 56, 57, 54, 56, 55, 54, 50, 50, 52, 56, 51, 59, 55, 59, 59, 55, 53, 55, 51, 57, 51, 57, 52, 53, 53, 54, 58, 53, 50];
ps = [33, 32, 36, 33, 30, 30, 36, 35, 31, 35, 34, 31, 32, 35, 36, 33, 35, 31, 32, 33, 36, 31, 35, 31, 31, 32, 33, 31, 35, 35];
pr = [20, 20, 22, 20, 22, 22, 22, 21, 21, 22, 22, 22, 21, 20, 21, 22, 20, 21, 21, 21, 22, 21, 20, 22, 20, 20, 20, 21, 20, 20];
hn = [15, 17, 17, 16, 13, 15, 15, 17, 15, 14, 15, 14, 15, 15, 16, 13, 16, 13, 16, 13, 14, 14, 14, 13, 16, 15, 16, 15, 14, 17];
hs = [10, 8, 8, 9, 8, 8, 9, 8, 8, 10, 9, 8, 9, 10, 9, 9, 8, 10, 8, 9, 10, 9, 9, 9, 9, 10, 10, 8, 8, 9];
hr = [3, 5, 3, 3, 4, 3, 5, 5, 5, 3, 5, 4, 4, 3, 5, 4, 4, 4, 5, 3, 3, 3, 5, 5, 4, 3, 4, 3, 3, 4];
