T = 30;
Dn = [8, 9, 15, 15, 8, 11, 18, 11, 11, 15, 12, 21, 9, 20, 13, 18, 17, 17, 16, 14, 15, 14, 15, 17, 15, 18, 19, 22, 16, 15];
Ds = [9, 13, 11, 15, 12, 14, 11, 8, 5, 8, 13, 10, 7, 7, 10, 7, 5, 15, 12, 7, 12, 5, 10, 6, 11, 5, 5, 12, 11, 13];
R = [15, 11, 18, 16, 7, 7, 13, 14, 18, 6, 10, 21, 12, 16, 14, 19, 18, 18, 16, 10, 14, 9, 16, 17, 8, 8, 13, 12, 5, 14];
f = [8, 16, 13, 20, 18, 12, 11, 21, 7, 12, 19, 22, 22, 22, 10, 22, 14, 18, 12, 19, 15, 21, 11, 22, 13, 19, 21, 7, 14, 9];
pn = [1, 7, 2, 2, 1, 1, 3, 1, 3, 6, 2, 7, 6, 4, 2, 6, 6, 5, 3, 2, 1, 1, 3, 6, 2, 3, 3, 2, 5, 2];
ps = [2, 5, 2, 3, 1, 4, 5, 3, 2, 3, 5, 1, 1, 2, 1, 2, 1, 2, 3, 2, 1, 2, 3, 3, 5, 4, 3, 5, 2, 5];
pr = [1, 2, 2, 2, 2, 2, 1, 1, 3, 2, 2, 2, 2, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 1, 1, 1, 2, 1, 2, 1];
hn = [4, 3, 4, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 4, 4, 4, 3, 2, 4, 4, 4, 4, 4, 4, 4, 2, 4, 2, 3, 4];
hs = [1, 1, 3, 3, 2, 2, 3, 1, 2, 3, 2, 2, 2, 2, 2, 1, 1, 2, 3, 1, 1, 1, 2, 3, 3, 3, 1, 1, 1, 2];
hr = [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];
