T = 30;
Dn = [9, 11, 13, 8, 19, 14, 12, 11, 11, 14, 17, 19, 17, 10, 8, 12, 22, 12, 15, 20, 9, 12, 12, 20, 18, 11, 18, 21, 11, 11];
Ds = [12, 13, 11, 15, 6, 5, 9, 11, 9, 10, 7, 5, 7, 5, 11, 6, 14, 14, 12, 5, 12, 8, 10, 5, 10, 5, 11, 6, 10, 10];
R = [16, 16, 10, 15, 6, 11, 6, 6, 7, 14, 16, 7, 6, 15, 16, 15, 6, 7, 12, 16, 6, 6, 12, 14, 13, 7, 14, 7, 9, 12];
f = [1977, 2010, 1978, 2022, 2023, 2017, 2016, 1976, 1991, 2000, 2030, 2024, 1993, 1985, 2013, 2012, 1982, 1977, 2029, 1977, 1989, 1999, 2014, 2001, 1991, 1972, 2010, 1975, 2001, 1993];
pn = [54, 57, 51, 51, 55, 59, 56, 51, 59, 55, 54, 60, 54, 54, 50, 59, 58, 50, 52, 57, 57, 59, 59, 53, 58, 50, 52, 55, 50, 50];
ps = [30, 35, 30, 33, 36, 33, 36, 32, 31, 36, 33, 32, 32, 31, 34, 32, 32, 31, 30, 34, 34, 35, 32, 34, 30, 32, 30, 33, 34, 33];
pr = [22, 20, 22, 20, 21, 22, 20, 21, 20, 22, 22, 22, 20, 20, 22, 20, 20, 20, 22, 22, 22, 21, 21, 22, 21, 21, 22, 22, 22, 22];
hn = [17, 13, 13, 15, 17, 16, 13, 13, 15, 13, 17, 14, 15, 14, 15, 15, 13, 15, 16, 17, 17, 14, 16, 14, 15, 16, 14, 15, 14, 17];
hs = [12, 11, 10, 12, 11, 12, 12, 11, 11, 11, 11, 11, 10, 11, 12, 12, 10, 11, 10, 12, 12, 10, 12, 11, 12, 10, 11, 12, 11, 11];
hr = [3, 3, 3, 4, 4, 3, 3, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 4, 2, 3, 2, 2, 4, 4, 3, 3, 2, 2, 4, 4];
